Parameter,Loose Organic Fertilizer,Granular Organic Fertilizer,Manure
Total Nitrogen (N) - Dry Weight Basis - Min %,1.0,1.0,1.5
Total Phosphorus (P2O5) - Dry Weight Basis - Min %,0.5,0.5,0.5
Total Potassium (K2O) - Dry Weight Basis - Min %,1.0,1.0,1.0
Moisture - Dry Weight Basis - Max %,25.0,20.0,25.0
Organic Carbon (OC) - Dry Weight Basis - Min %,20.0,20.0,20.0
pH,6.0-8.0,6.0-8.0,6.0-8.0
Odor,No foul odor,No foul odor,No foul odor
Pathogens,Zero,Zero,Zero
Arsenic (AS203) - Max ppm,10,10,10
Cadmium (Cd) - Max ppm,5,5,5
Chromium (Cr) - Max ppm,50,50,50
Lead (Pb) - Max ppm,100,100,100
Mercury (Hg) - Max ppm,2,2,2
