Crop,Variety,High_Hill_Sowing,Mid_Hill_Sowing,Terai_Bensi_Sowing,Remarks
Potato,Kufri Jyoti,Falgun–Chaitra,Asoj–Kartik,Kartik–Mangsir,Mid-hill high production
Potato,Janak Dev,Baisakh–Jestha,Falgun–Chaitra,Asoj–Kartik,High altitude variety
Potato,Khumbu,Jestha–Shrawan,Jestha–Shrawan,Not Recommended,
Potato,IPY,Not Recommended,Falgun–Chaitra,Asoj–Kartik,Tolerant to late blight
Potato,Cardinal,Not Recommended,Not Recommended,Asoj–Kartik,Early ripening; red skin
Sweet Potato,Local,Baisakh–Jestha,Falgun–Chaitra,Bhadra–Asoj,
Sweet Potato,H-41,Not Recommended,Not Recommended,Falgun–Chaitra,High production; orange flesh
Yam,Local,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,Use seed tubers
Taro,Local,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,Use seed tubers
Elephant Foot Yam,Local,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,Use seed tubers
Turmeric,Local,Baisakh–Jestha,Chaitra–Baisakh,Falgun–Chaitra,Use seed rhizomes
Turmeric,Bandi,Not Recommended,Baisakh–Jestha,Chaitra–Baisakh,
Ginger,Local,Baisakh–Jestha,Chaitra–Baisakh,Falgun–Chaitra,Use seed rhizomes
Ginger,Bandi,Not Recommended,Baisakh–Jestha,Chaitra–Baisakh,
Carrot,Pusa Kesar,Not Recommended,Jestha–Bhadra,Asoj–Mangsir,
Carrot,Nantes,Not Recommended,Jestha–Bhadra,Asoj–Mangsir,
Radish,Kathmandu Local,Baisakh–Bhadra,Shrawan–Chaitra,Asoj–Mangsir,
Radish,All Season,Not Recommended,Shrawan–Falgun,Asoj–Chaitra,
Radish,Forty Day,Not Recommended,Not Recommended,Asoj–Mangsir,
Cabbage,Green Coronet,Baisakh–Jestha,Bhadra–Poush,Kartik–Magh,
Cabbage,Copenhagen,Not Recommended,Bhadra-Poush,Kartik–Magh,
Cabbage,NS 43,Not Recommended,Not Recommended,Kartik–Magh,
Cauliflower,Snow King,Baisakh–Jestha,Bhadra–Kartik,Asoj–Mangsir,
Cauliflower,Patna Snow Ball,Not Recommended,Not Recommended,Kartik–Magh,
Broccoli,Green Sprouting,Baisakh–Jestha,Bhadra–Kartik,Asoj–Mangsir,
Garlic,Local,Baisakh–Jestha,Shrawan–Magh,Asoj–Kartik,
Bottle Gourd,NS 421/Kaveri/NS 443,Falgun–Chaitra,Ashar–Poush–Jestha,Not Recommended,
Turnip,Purple Top,Jestha–Shrawan,Shrawan–Falgun,Asoj–Mangsir,
Turnip,Fuyunasho,Not Recommended,Shrawan–Falgun,Asoj–Mangsir,
Turnip,Kathmandu Red,Not Recommended,Shrawan–Falgun,Not Recommended,
French Bean,Khrishuli,Chaitra–Baisakh,Magh–Falgun,Not Recommended,
Pole Bean,Local,Not Recommended,Magh–Falgun,Bhadra–Asoj,
Brown French Bean,Local,Not Recommended,Magh–Falgun,Bhadra–Asoj,
Cardamom,Ramshahi,Jestha–Shrawan,Jestha–Shrawan,Not Recommended,3 seedlings per pit
Cardamom,Golshahi,Jestha–Shrawan,Jestha–Shrawan,Not Recommended,3 seedlings per pit
